SKU,Cut,Finish,Alloy,Wall,Leg A,Leg B,Classes,Price
OA9233-M,8,Mill,,"1/16""","1/4""","1/4""",wall-one-sixteen leg-a-quarter leg-b-quarter,2.48
OA9378-M,8,Mill,,"1/16""","3/8""","3/8""",wall-one-sixteen leg-a-three-eight leg-b-three-eight,3.33
OA1940-M,8,Mill,,"1/16""","3/8""","1/2""",wall-one-sixteen leg-a-three-eight leg-b-half,3.84
OA1551-M,8,Mill,,"1/16""","1/2""","1/2""",wall-one-sixteen leg-a-half leg-b-half,6.03
OA7011-M,8,Mill,,"1/16""","5/8""","5/8""",wall-one-sixteen leg-a-five-eight leg-b-five-eight,5.7
OA2158-M,8,Mill,,"1/16""","3/4""","3/4""",wall-one-sixteen leg-a-three-quarter leg-b-three-quarter,6.48
OA2167-M,8,Mill,,"1/16""","1""","1""",wall-one-sixteen leg-a-one leg-b-one,9.14
OA6144-M,8,Mill,,"1/8""","1/2""","1/2""",wall-one-eight leg-a-half leg-b-half,12.06
OA2101-M,8,Mill,,"1/8""","1/2""","1""",wall-one-eight leg-a-half leg-b-one,17.02
OA9382-M,8,Mill,,"1/8""","1/2""","2""",wall-one-eight leg-a-half leg-b-two,20.48
OA9379-M,8,Mill,,"1/8""","5/8""","5/8""",wall-one-eight leg-a-five-eight leg-b-five-eight,10.82
OA1202-M,8,Mill,,"1/8""","3/4""","3/4""",wall-one-eight leg-a-three-quarter leg-b-three-quarter,8.31
OA9380-M,8,Mill,,"1/8""","7/8""","7/8""",wall-one-eight leg-a-seven-eight leg-b-seven-eight,15.62
OA2091-M,8,Mill,,"1/8""","1""","1""",wall-one-eight leg-a-one leg-b-one,14.13
OA1554-M,8,Mill,,"1/8""","1""","1-1/2""",wall-one-eight leg-a-one leg-b-one-half,12.65
OA9381-M,8,Mill,,"1/8""","1""","2""",wall-one-eight leg-a-one leg-b-two,27.58
OA7022-M,8,Mill,,"1/8""","1-1/4""","1-1/4""",wall-one-eight leg-a-one-quarter leg-b-one-quarter,22.36
OA2073-M,8,Mill,,"1/8""","1-1/2""","1-1/2""",wall-one-eight leg-a-one-half leg-b-one-half,22.12
OA2776-M,8,Mill,,"1/8""","1-1/2"" ","2""",wall-one-eight leg-a-one-half leg-b-two,32.38
OA7027-M,8,Mill,,"1/8""","1-3/4""","1-3/4""",wall-one-eight leg-a-one-three-quarter leg-b-one-three-quarter,24.44
OA7025-M,8,Mill,,"1/8""","2""","2""",wall-one-eight leg-a-two leg-b-two,29.04
OA7021-M,8,Mill,,"3/16""","1""","1""",wall-three-sixteen leg-a-one leg-b-one,27.42
OA7023-M,8,Mill,,"3/16""","1-1/4""","1-1/4""",wall-three-sixteen leg-a-one-quarter leg-b-one-quarter,29.07
OA7024-M,8,Mill,,"3/16""","1-1/2""","1-1/2""",wall-three-sixteen leg-a-one-half ,38.07
OA7026-M,8,Mill,,"3/16""","2""","2""",wall-three-sixteen leg-a-two leg-b-two,37.41
OA7440-M,8,Mill,,"3/16""","4""","4""",wall-three-sixteen leg-a-four leg-b-four,72.32
OA4096-M,8,Mill,,"1/4""","1""","1""",wall-quarter leg-a-one leg-b-one,33.6
OA2528-M,8,Mill,,"1/4""","1""","2""",wall-quarter leg-a-one leg-b-two,14.83
OA3754-M,8,Mill,,"1/4""","1-1/4""","1-1/4""",wall-quarter leg-a-one-quarter leg-b-one-quarter,43.2
OA9383-M,8,Mill,,"1/4""","1-1/2""","1-1/2""",wall-quarter leg-a-one-half leg-b-one-half,52.86
OA9384-M,8,Mill,,"1/4""","2""","2""",wall-quarter leg-a-two leg-b-two,72.06
