SKU,Cut,Finish,Alloy,Wall,Width,Height,Fits,Price,Name
OA7082-A,6',Clear Anodized,6063-T5,"1/16""","3/8""","3/8""","1/4""",6.95,"Channel: Fits 1/4"""
OA7082-12,12',Clear Anodized,6063-T5,"1/16""","3/8""","3/8""","1/4""",6.95,"Channel: Fits 1/4"""
OA7401-A,6',Clear Anodized,6063-T5,"1/16""","3/8""","7/16""","1/4""",8.57,"Channel: Fits 1/4"""
OA6662-A,6',Clear Anodized,6063-T5,"1/16""","3/8""","1/2""","1/4""",10.08,"Channel: Fits 1/4"""
OA7402-A,6',Clear Anodized,6063-T5,"1/16""","3/8""","15/16""","1/4""",11.97,"Channel: Fits 1/4"""
OA7403-A,6',Clear Anodized,6063-T5,"1/16""","1/2""","5/16""","3/8""",8.12,"Channel: Fits 3/8"""
OA2303-A,6',Clear Anodized,6063-T5,"1/16""","1/2""","1/2""","3/8""",8.49,"Channel: Fits 3/8"""
OA2303-12,12',Clear Anodized,6063-T5,"1/16""","1/2""","1/2""","3/8""",16.98,"Channel: Fits 3/8"""
OA8105-12,12',Clear Anodized,6063-T5,"1/16""","1/2""","3/4""","3/8""",21.72,"Channel: Fits 3/8"""
OA7404-A,6',Clear Anodized,6063-T5,"1/16""","5/8""","9/16""","1/2""",10.27,"Channel: Fits 1/2"""
OA7404-12',12',Clear Anodized,6063-T5,"1/16""","5/8""","9/16""","1/2""",20.54,"Channel: Fits 1/2"""
OA1195-A,6',Clear Anodized,6063-T5,"1/16""","5/8""","7/8""","1/2""",12.28,"Channel: Fits 1/2"""
OA1801-A,6',Clear Anodized,6063-T5,"1/16""","11/16""","1/2""","9/16""",9.21,"Channel: Fits 1/2"""
OA1801-12,12',Clear Anodized,6063-T5,"1/16""","11/16""","1/2""","9/16""",18.42,"Channel: Fits 1/2"""
OA1665-A,6',Clear Anodized,6063-T5,"1/16""","3/4""","1/2""","5/8""",9.46,"Channel: Fits 5/8"""
OA7405-A,6',Clear Anodized,6063-T5,"1/16""","7/8""","5/16""","3/4""",9.41,"Channel: Fits 3/4"""
OA7405-12,12',Clear Anodized,6063-T5,"1/16""","7/8""","5/16""","3/4""",18.82,"Channel: Fits 3/4"""
OA5863-A,6',Clear Anodized,6063-T5,"1/16""","1""","1/2""","7/8""",10.53,"Channel: Fits 7/8"""
OA2746-A,6',Clear Anodized,6063-T5,"1/16""","1""","1""","7/8""",14.38,"Channel: Fits 7/8"""
OA1435-A,6',Clear Anodized,6063-T5,"1/16""","1-1/8""","1/2""","1""",11,"Channel: Fits 1"""
OA7407-A,6',Clear Anodized,6063-T5,"1/16""","1-1/8""","13/16""","1""",13.69,"Channel: Fits 1"""
OA2046-A,6',Clear Anodized,6063-T5,"1/16""","1-1/2""","3/4""","1-3/8""",14.83,"Channel: Fits 1-3/8"""
OA2900-A,6',Clear Anodized,6063-T5,"1/16""","1-3/4""","13/16""","1-5/8""",16.11,"Channel: Fits 1-5/8"""
OA2137-A,6',Clear Anodized,6063-T5,"1/16""","2""","3/4""","1-7/8""",27.57,"Channel: Fits 1-7/8"""
OA2022-A,6',Clear Anodized,6063-T5,"3/32""","3/4""","1/2""","9/16""",11.97,"Channel: Fits 1/2"""
OA2164-A,6',Clear Anodized,6063-T5,"3/32""","2""","3/4""","1-13/16""",22.55,"Channel: Fits 1-13/16"""
OA3381-A,6',Clear Anodized,6063-T5,"1/8""","1/2""","1""","1/4""",20.51,"Channel: Fits 1/4"""
OA7131-A,6',Clear Anodized,6063-T5,"1/8""","17/32""","1""","9/32""",20.76,"Channel: Fits 9/32"""
OA4434-A,6',Clear Anodized,6063-T5,"1/8""","3/4""","3/4""","1/2""",18.51,"Channel: Fits 1/2"""
OA1077-A,6',Clear Anodized,6063-T5,"1/8""","3/4""","1""","1/2""",22.45,"Channel: Fits 1/2"""
OA7406-A,6',Clear Anodized,6063-T5,"1/8""","1""","3/4""","3/4""",20.13,"Channel: Fits 3/4"""
OA7071-A,6',Clear Anodized,6063-T5,"1/8""","2""","2""","1-3/4""",48.17,"Channel: Fits 1-3/4"""
OA4434-12,12',Clear Anodized,6063-T5,"1/8""","3/4""","3/4""","1/2""",18.51,"Channel: Fits 1/2"""
OA7508-A,6',Clear Anodized,6063-T5,"3/16""","3/4""","1""","3/8""",30.63,"Channel: Fits 3/8"""
