SKU,Cut,Finish,Alloy,Width(mm),Width(in),Thickness(mm),Thickness(in),Price,Name
OA2592,6',Mill Finish,6061-T6,0,"1/2""",0,"1/16""",1.76,"Flat Bar: 1/2"" x 1/16"""
OA2729,6',Mill Finish,6061-T6,0,"3/4""",0,"1/16""",2.69,"Flat Bar: 3/4"" x 1/16"""
OA4507,6',Mill Finish,6061-T6,0,"1""",0,"1/16""",3.51,"Flat Bar: 1"" x 1/16"""
OA5695,6',Mill Finish,6061-T6,0,"1-1/4""",0,"1/16""",4.51,"Flat Bar: 1-1/4"" x 1/16"""
OA6364,6',Mill Finish,6061-T6,0,"1-1/2""",0,"1/16""",5.13,"Flat Bar: 1-1/2"" x 1/16"""
OA3794,6',Mill Finish,6061-T6,0,"2-1/2""",0,"1/16""",9.41,"Flat Bar: 2-1/2"" x 1/16"""
OA9258,6',Mill Finish,6061-T6,0,"1/8""",0,"1/16""",0.48,"Flat Bar: 1/8"" x 1/16"""
OA9259,6',Mill Finish,6061-T6,0,"1/4""",0,"1/16""",0.91,"Flat Bar: 1/4"" x 1/16"""
OA9260,6',Mill Finish,6061-T6,0,"3/8""",0,"1/16""",1.34,"Flat Bar: 3/8"" x 1/16"""
OA9261,6',Mill Finish,6061-T6,0,"5/8""",0,"1/16""",2.23,"Flat Bar: 5/8"" x 1/16"""
OA9262,6',Mill Finish,6061-T6,0,"7/8""",0,"1/16""",3.12,"Flat Bar: 7/8"" x 1/16"""
OA9263,6',Mill Finish,6061-T6,0,"1-3/4""",0,"1/16""",6.29,"Flat Bar: 1-3/4"" x 1/16"""
OA9264,6',Mill Finish,6061-T6,0,"2-1/4""",0,"1/16""",8.06,"Flat Bar: 2-1/4"" x 1/16"""
OA9265,6',Mill Finish,6061-T6,0,"2-3/4""",0,"1/16""",9.82,"Flat Bar: 2-3/4"" x 1/16"""
OA9266,6',Mill Finish,6061-T6,0,"3""",0,"1/16""",10.71,"Flat Bar: 3"" x 1/16"""
OA9267,6',Mill Finish,6061-T6,0,"3/8""",0,"3/32""",2.03,"Flat Bar: 3/8"" x 3/32"""
OA9268,6',Mill Finish,6061-T6,0,"1/2""",0,"3/32""",2.71,"Flat Bar: 1/2"" x 3/32"""
OA9269,6',Mill Finish,6061-T6,0,"2""",0,"3/32""",10.83,"Flat Bar: 2"" x 3/32"""
OA9270,6',Mill Finish,6061-T6,0,"3""",0,"3/32""",16.24,"Flat Bar: 3"" x 3/32"""
OA1058-8M,8',Mill Finish,6063-T5,0,"1/2""",0,"1/8""",4.8,"Flat Bar: 1/2"" x 1/8"""
OA4978,8',Mill Finish,6063-T5,0,"5/8""",0,"1/8""",6,"Flat Bar: 5/8"" x 1/8"""
OA2126-8M,8',Mill Finish,6063-T5,0,"3/4""",0,"1/8""",7.2,"Flat Bar: 3/4"" x 1/8"""
OA4271,8',Mill Finish,6063-T5,0,"1""",0,"1/8""",9.6,"Flat Bar: 1"" x 1/8"""
OA1626,8',Mill Finish,6063-T5,0,"1-1/4""",0,"1/8""",12,"Flat Bar: 1-1/4"" x 1/8"""
OA6313,8',Mill Finish,6063-T5,0,"1-1/2""",0,"1/8""",14.4,"Flat Bar: 1-1/2"" x 1/8"""
OA1584,8',Mill Finish,6063-T5,0,"2""",0,"1/8""",19.2,"Flat Bar: 2"" x 1/8"""
OA1751,8',Mill Finish,6063-T5,0,"1/2""",0,"3/16""",7.2,"Flat Bar: 1/2"" x 3/16"""
OA8095,8',Mill Finish,6063-T5,0,"3/4""",0,"3/16""",10.8,"Flat Bar: 3/4"" x 3/16"""
OA2094,8',Mill Finish,6063-T5,0,"1""",0,"3/16""",14.4,"Flat Bar: 1"" x 3/16"""
OA9297,8',Mill Finish,6063-T5,0,"1-1/4""",0,"3/16""",18,"Flat Bar: 1-1/4"" x 3/16"""
OA8096,8',Mill Finish,6063-T5,0,"1-1/2""",0,"3/16""",21.6,"Flat Bar: 1-1/2"" x 3/16"""
OA5352,8',Mill Finish,6063-T5,0,"2""",0,"3/16""",28.8,"Flat Bar: 2"" x 3/16"""
OA9299,8',Mill Finish,6063-T5,0,"1/4""",0,"1/4""",4.8,"Flat Bar: 1/4"" x 1/4"""
OA8097,8',Mill Finish,6063-T5,0,"1/2""",0,"1/4""",9.6,"Flat Bar: 1/2"" x 1/4"""
OA8098,8',Mill Finish,6063-T5,0,"3/4""",0,"1/4""",14.4,"Flat Bar: 3/4"" x 1/4"""
OA2342,8',Mill Finish,6063-T5,0,"1""",0,"1/4""",19.2,"Flat Bar: 1"" x 1/4"""
OA9296,8',Mill Finish,6063-T5,0,"1-1/4""",0,"1/4""",24,"Flat Bar: 1-1/4"" x 1/4"""
OA4530,8',Mill Finish,6063-T5,0,"1-1/2""",0,"1/4""",28.8,"Flat Bar: 1-1/2"" x 1/4"""
OA9303,8',Mill Finish,6063-T5,0,"1-3/4""",0,"1/4""",33.6,"Flat Bar: 1-3/4"" x 1/4"""
OA8099,8',Mill Finish,6063-T5,0,"2""",0,"1/4""",38.4,"Flat Bar: 2"" x 1/4"""
OA9305,8',Mill Finish,6063-T5,0,"3/8""",0,"3/8""",10.8,"Flat Bar: 3/8"" x 3/8"""
OA9306,8',Mill Finish,6063-T5,0,"1/2""",0,"3/8""",14.4,"Flat Bar: 1/2"" x 3/8"""
OA8100,8',Mill Finish,6063-T5,0,"5/8""",0,"3/8""",18,"Flat Bar: 5/8"" x 3/8"""
OA9308,8',Mill Finish,6063-T5,0,"3/4""",0,"3/8""",21.6,"Flat Bar: 3/4"" x 3/8"""
