SKU,Cut,Finish,Alloy,Width(mm),Width(in),Thickness(mm),Thickness(in),Price,Name
OA9192,6',Mill Finish,6061-T6,5 mm,0,2 mm,0,0.89,Flat Bar: 5 mm x 2 mm  
OA7541,6',Mill Finish,6061-T6,10 mm,0,2 mm,0,1.79,Flat Bar: 10 mm x 2 mm  
OA7540,6',Mill Finish,6061-T6,15 mm,0,2 mm,0,2.68,Flat Bar: 15 mm x 2 mm  
OA7539,6',Mill Finish,6061-T6,20 mm,0,2 mm,0,3.57,Flat Bar: 20 mm x 2 mm 
OA7538,6',Mill Finish,6061-T6,25 mm,0,2 mm,0,4.46,Flat Bar: 25 mm x 2 mm  
OA9193,6',Mill Finish,6061-T6,30 mm,0,2 mm,0,5.36,Flat Bar: 30 mm x 2 mm 
OA9194,6',Mill Finish,6061-T6,40 mm,0,2 mm,0,7.14,Flat Bar: 40 mm x 2 mm  
OA9195,6',Mill Finish,6061-T6,50 mm,0,2 mm,0,8.93,Flat Bar: 50 mm x 2 mm 
OA9196,6',Mill Finish,6061-T6,5 mm,0,3 mm,0,1.34,Flat Bar: 5 mm x 3 mm  
OA7537,6',Mill Finish,6061-T6,10 mm,0,3 mm,0,2.68,Flat Bar: 10 mm x 3 mm  
OA7536,6',Mill Finish,6061-T6,15 mm,0,3 mm,0,4.02,Flat Bar: 15 mm x 3 mm  
OA7535,6',Mill Finish,6061-T6,20 mm,0,3 mm,0,5.36,Flat Bar: 20 mm x 3 mm 
OA7534,6',Mill Finish,6061-T6,25 mm,0,3 mm,0,6.7,Flat Bar: 25 mm x 3 mm  
OA9197,6',Mill Finish,6061-T6,30 mm,0,3 mm,0,8.04,Flat Bar: 30 mm x 3 mm 
OA9198,6',Mill Finish,6061-T6,40 mm,0,3 mm,0,10.71,Flat Bar: 40 mm x 3 mm  
OA9199,6',Mill Finish,6061-T6,50 mm,0,3 mm,0,13.39,Flat Bar: 50 mm x 3 mm 
OA9200,6',Mill Finish,6061-T6,5 mm,0,4 mm,0,1.79,Flat Bar: 5 mm x 4 mm 
