SKU,Cut,Finish,Alloy,OD (in),OD (mm),Price,Wall,Name
OA9179,6',Mill Finish,6061-T6,"1/8""",0,0.82,0,"Hex Bar: 1/8"""
OA9180,6',Mill Finish,6061-T6,"3/16""",0,1.78,0,"Hex Bar: 3/16"""
OA9181,6',Mill Finish,6061-T6,"1/4""",0,3.12,0,"Hex Bar: 1/4"""
OA9182,6',Mill Finish,6061-T6,"5/16""",0,4.9,0,"Hex Bar: 5/16"""
OA9183,6',Mill Finish,6061-T6,"3/8""",0,7.01,0,"Hex Bar: 3/8"""
OA9184,6',Mill Finish,6061-T6,"7/16""",0,9.55,0,"Hex Bar: 7/16"""
OA9185,6',Mill Finish,6061-T6,"1/2""",0,12.48,0,"Hex Bar: 1/2"""
OA9186,6',Mill Finish,6061-T6,"9/16""",0,15.79,0,"Hex Bar: 9/16"""
OA9187,6',Mill Finish,6061-T6,"5/8""",0,19.49,0,"Hex Bar: 5/8"""
OA9188,6',Mill Finish,6061-T6,"11/16""",0,23.57,0,"Hex Bar: 11/16"""
OA9189,6',Mill Finish,6061-T6,"3/4""",0,28.03,0,"Hex Bar: 3/4"""
OA9190,6',Mill Finish,6061-T6,"7/8""",0,38.21,0,"Hex Bar: 7/8"""
OA9191,6',Mill Finish,6061-T6,"1""",0,49.87,0,"Hex Bar: 1"""
