SKU,Cut,Finish,Alloy,OD (in),OD (mm),Price,Wall,Name
OA9167,6',Mill Finish,6061-T6,0,5mm,1.97,0,Hex Bar: 5 mm
OA9168,6',Mill Finish,6061-T6,0,6mm,2.78,0,Hex Bar: 6 mm
OA9169,6',Mill Finish,6061-T6,0,7mm,3.79,0,Hex Bar: 7 mm
OA9170,6',Mill Finish,6061-T6,0,8mm,4.94,0,Hex Bar: 8 mm
OA9171,6',Mill Finish,6061-T6,0,10mm,7.73,0,Hex Bar: 10 mm
OA9172,6',Mill Finish,6061-T6,0,12mm,11.14,0,Hex Bar: 12 mm
OA9173,6',Mill Finish,6061-T6,0,14mm,15.17,0,Hex Bar: 14 mm
OA9174,6',Mill Finish,6061-T6,0,16mm,19.82,0,Hex Bar: 16 mm
OA9175,6',Mill Finish,6061-T6,0,18mm,25.06,0,Hex Bar: 18 mm
OA9176,6',Mill Finish,6061-T6,0,20mm,30.91,0,Hex Bar: 20 mm
OA9177,6',Mill Finish,6061-T6,0,25mm,48.34,0,Hex Bar: 25 mm
OA9178,6',Mill Finish,6061-T6,0,30mm,69.6,0,Hex Bar: 30 mm
