SKU,Description,Name,Price,Short Description,Image
OA9055,"Aluminum Snap Frame Base designed to work perfectly with out Cap Profile

</li><li>8 Foot Cut Length
</li><li>Clear Anodized Finish, Per American Society for Testing and Materials (ASTM)
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper",Snap Frames: Base,14.72,"</li><li>8 Foot Cut Length
</li><li>Clear Anodized Finish
</li><li>6063-T5",/9/0/9055_1.jpg
OA3316,"This Break Apart Valance - Tongue and Groove Extrusion, Fits your 1/4"" Material, is Perfect  for Lid Enclosures for all your Road or Flight Cases.  The design allows material to be Extruded as one Piece, then Breaks Apart into Two Separate <a href=""http://www.orangealuminum.com/"">aluminum Extrusions</a>, Male and Female.  The OA3316 is designed for each piece to have an exposed 15/16"" Leg, while the 19/64"" (.296"") Channel is more then enough room to accommodate your 1/4"" Plywood or ABS Laminate.

</li><li>19/64"" Channel Width x 1-7/8"" Mated Exposed Outside Surface (.296"" Channel X 1.876"" Exposed)
</li><li>6 Foot Cut Length
</li><li>Mill Finish, Per American Society for Testing and Materials (ASTM)
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper
<b>Also Available in 12 Foot Lengths, Ships via Freight - Call For Quote</b>","Break Apart Valance: Fits 1/4""",12.48,"Break Apart Valance, Tongue and Groove Extrusion - Fits 1/4"" Material
</li><li>19/64"" Channel x 1-3/4"" Total Exposed Surface (.296"" Channel X 1.750"" Exposed)
</li><li>6 Foot Cut Length; 12 Foot Lengths Available 
</li><li>Mill Finish
</li><li>6063-T5",/3/3/3316_2.jpg
OA2374,"This Break Apart Valance - Tongue and Groove Extrusion, Fits your 3/8"" Material, is Perfect  for Lid Enclosures for all your Road or Flight Cases.  The design allows material to be Extruded as one Piece, then Breaks Apart into Two Separate <a href=""http://www.orangealuminum.com/"">aluminum Extrusions</a>, Male and Female.  The OA2374 is designed for each piece to have an exposed 7/8"" Leg, while the 7/16"" (.435"") Channel is more then enough room to accommodate your 3/8"" Plywood or ABS Laminate.

</li><li>7/16"" Channel Width x 1-3/4"" Mated Exposed Outside Surface (.435"" Channel X 1.750"" Exposed)
</li><li>6 Foot Cut Length
</li><li>Mill Finish, Per American Society for Testing and Materials (ASTM)
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper
<b>Also Available in 12 Foot Lengths, Ships via Freight - Call For Quote</b>","Break Apart Valance: Fits 3/8""",12.76,"Break Apart Valance, Tongue and Groove Extrusion - Fits 3/8"" Material
</li><li>7/16"" Channel x 1-3/4"" Mated Exposed Surface (.435"" Channel X 1.750"" Exposed)
</li><li>6 Foot Cut Length; 12 Foot Lengths Available 
</li><li>Mill Finish
</li><li>6063-T5
",/2/3/2374_1.jpg
OA4429,"This Break Apart Valance - Tongue and Groove Extrusion, Fits your 1/2"" Material, is Perfect  for Lid Enclosures for all your Road or Flight Cases.  The design allows material to be Extruded as one Piece, then Breaks Apart into Two Separate <a href=""http://www.orangealuminum.com/"">aluminum Extrusions</a>, Male and Female.  The OA4429 is designed for each piece to have an exposed 1"" Leg, while the 9/16"" (.550"") Channel is more then enough room to accommodate your 1/4"" Plywood or ABS Laminate.

</li><li>9/16"" Channel Width x 2"" Mated Exposed Outside Surface (.550"" Channel X 2"" Exposed)
</li><li>6 Foot Cut Length
</li><li>Mill Finish, Per American Society for Testing and Materials (ASTM)
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper
<b>Also Available in 12 Foot Lengths; Ships via Freight - Call For Quote</b>","Break Apart Valance: Fits 1/2""",17.45,"Break Apart Valance, Tongue and Groove Extrusion - Fits 1/2"" Material
</li><li>9/16"" Channel Width x 2"" Mated Exposed Outside Surface (.550"" Channel X 2"" Exposed)
</li><li>6 Foot Cut Length; 12 Foot Lengths Available 
</li><li>Mill Finish
</li><li>6063-T5
",/4/4/4429_1.jpg
OA8460,"The Single Angle Profile is commonly used to finish off the 90 Degree Edge of Cases.
<li>1- 3/8"" Even Legged Angle
<li>6' Cut Length
<li>Mill Finish, Per ASTM
<li>6063 Ultra Corrosive Grade Alloy, T5 Temper
<li>Both Legs are Punched 3"" OC with 3/16"" holes",Single Angle Edge,9.06,"The Single Angle Profile is commonly used to finish off the 90 Degree Edge of Cases.
1- 3/8"" Even Legged Angle
6' Cut Length
Mill Finish, Per ASTM
6063 Ultra Corrosive Grade Alloy, T5 Temper
Both Legs are Punched 3"" OC with 3/16"" holes
",/8/4/8460-3.jpg
OA3860,"This Double Angle Enclosure Extrusion, Fits your 1/4"" Material, is the Easiest way to Join your 90 Degree Corners for all your Road or Flight Cases.  The design allows you to easily join your material at all of those 90 Degree Corners, while also providing easier assembly and protecting your cases... adding longer Product Life in addition to Higher Quality.  The OA3860 Outside Exposed Leg Measures 1-1/8"", while the 9/32"" (.281"") Channel is more then enough room to accommodate your 1/4"" Plywood or ABS Laminate.

</li><li>9/32"" Channel Width x 1-1/8"" Outside Exposed Leg (.281"" Channel X 1.125"" Exposed)
</li><li>6 Foot  Cut Lengths, Standard
</li><li>Mill Finish, Per American Society for Testing and Materials (ASTM)
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper
<b>Also Available in 12 Foot Lengths, Ships via Freight - Call For Quote</b>","Double Angle Edge: Fits 1/4""",8.45,"<b>Double Angle Extrusion - Fits 1/4"" Material</b>
</li><li>9/32"" Channel Width x 1-1/8"" Outside Exposed Leg (.281"" Channel X 1.125"" Exposed)
</li><li>6 Foot Cut Lengths, and 12 Foot Lengths Available 
</li><li>Mill Finish
</li><li>6063-T5
",/3/8/3860_1.jpg
OA3980,"This Double Angle Enclosure Extrusion, Fits your 3/8"" Material, is the Easiest way to Join your 90 Degree Corners for all your Road or Flight Cases.  The design allows you to easily join your material at all of those 90 Degree Corners, while also providing easier assembly and protecting your cases... adding longer Product Life in addition to Higher Quality.  The OA3980 Outside Exposed Leg Measures 1-1/4"", while the 13/32"" (.405"") Channel is more than enough room to accommodate your 3/8"" Plywood or ABS Laminate.

</li><li>13/32"" Channel Width x 1-1/4"" Outside Exposed Leg (.405"" Channel X 1.250"" Exposed)
</li><li>6 Foot  Cut Lengths, Standard
</li><li>Mill Finish, Per American Society for Testing and Materials (ASTM)
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper
<b>Also Available in 12 Foot Lengths, Ships via Freight - Call For Quote</b>
","Double Angle Edge: Fits 3/8""",9.95,"<b>Double Angle Extrusion - Fits 3/8"" Material</b>
</li><li>13/32"" Channel x 1-1/4"" Outside Exposed Leg (.405"" Channel X 1.250"" Exposed)
</li><li>6 Foot  Cut Lengths, and 12 Foot Lengths Available 
</li><li>Mill Finish
</li><li>6063-T5
",/3/9/3980_1.jpg
OA3931,"This Double Angle Enclosure Extrusion, Fits your 1/2"" Material, is the Easiest way to Join your 90 Degree Corners for all your Road or Flight Cases.  The design allows you to easily join your material at all of those 90 Degree Corners, while also providing easier assembly and protecting your cases... adding longer Product Life in addition to Higher Quality.  The OA3931 Outside Exposed Leg Measures 1-1/4"", while the 9/16"" (.562"") Channel is more than enough room to accommodate your 1/2"" Plywood or ABS Laminate.

</li><li>9/16"" Channel Width x 1-1/4"" Outside Exposed Leg (.562"" Channel X 1.250"" Exposed)
</li><li>6 Foot  Cut Lengths, Standard
</li><li>Mill Finish, Per American Society for Testing and Materials (ASTM)
</li><li>6063 Ultra-Corrosive Resistant Architectural Grade Alloy, T5 Temper
<b>Also Available in 12 Foot Lengths, Ships via Freight - Call For Quote</b>
","Double Angle Edge: Fits 1/2""",10.97,"<b>Double Angle Extrusion - Fits 1/2"" Material</b>
</li><li>9/16"" Channel Width x 1-1/4"" Outside Exposed Leg (.562"" Channel X 1.250"" Exposed)
</li><li>6 Foot  Cut Lengths, and 12 Foot Lengths Available 
</li><li>Mill Finish
</li><li>6063-T5
",/3/9/3931_1.jpg
OA9028,"Sliding door tracks are great for residential or commercial interiors.
These modern sliding door tracks offer a series of sophisticated design solutions for dividing space–as room dividers, closet doors, sliding doors or pocket doors.
The minimalist top hung design eliminates obtrusive floor tracks and creates a simple, minimalist design that meets the specifications of architects, decorators and engineers around the world.
<li>For 3/4"", 1-3/8"" and 1-3/4"" doors</li>
<li>1-13/23",Single Track,26.34,"<li> Perfect for Dividers and Partitions </li>
<li>1-13/23",/9/0/9028_1.jpg
OA9029,"Sliding door tracks are great for residential or commercial interiors.
These modern sliding door tracks offer a series of sophisticated design solutions for dividing space–as room dividers, closet doors, sliding doors or pocket doors.
The minimalist top hung design eliminates obtrusive floor tracks and creates a simple, minimalist design that meets the specifications of architects, decorators and engineers around the world.
<li>For 3/4"", 1-3/8"" and 1-3/4"" doors</li>
<li>1-1/27",Dual Track,31.68,"<li>Perfect for Dual Sliding Doors!</li>
<li>Punched for Modern Top-Hung Design</li>
<li>Machined Ends Made Perfect for Rollers</li>
<li>1-1/27",/9/0/9029_1.jpg
