SKU,Cut,Finish,Alloy,Diameter (mm),Diameter (in),Price,Name
OA7856,6',Mill Finish,6061-T6,5 mm,"13/66""",2.01,Round Rod : 5 mm
OA7857,6',Mill Finish,6061-T6,6 mm,"21/89""",2.38,Round Rod : 6 mm
OA7858,6',Mill Finish,6061-T6,7 mm,"21/89""",3.23,Round Rod : 7 mm
OA7859,6',Mill Finish,6061-T6,8 mm,"23/73""",4.22,Round Rod : 8 mm
OA7860,6',Mill Finish,6061-T6,9 mm,"17/48""",5.29,Round Rod : 9 mm
OA7861,6',Mill Finish,6061-T6,10 mm,"13/33""",6.55,Round Rod : 10 mm
OA7862,6',Mill Finish,6061-T6,12 mm,"42/89""",8.52,Round Rod : 12 mm
OA7863,6',Mill Finish,6061-T6,14 mm,"27/49""",11.63,Round Rod : 14 mm
OA7864,6',Mill Finish,6061-T6,15 mm,"13/22""",13.71,Round Rod : 15 mm
OA7865,6',Mill Finish,6061-T6,16 mm,"46/73""",15.53,Round Rod : 16 mm
OA7866,6',Mill Finish,6061-T6,20 mm,"48/61""",26.24,Round Rod : 20 mm
OA7867,6',Mill Finish,6061-T6,25 mm,"61/62""",37.79,Round Rod : 25 mm
