SKU,Cut,Finish,Alloy,Wall,ID (in),OD (in),Price,Name
OA6923-M,6',Mill Finish,6063-T5,"1/20""","17/32""","5/8""",7.23,"Round Tube : 5/8""  OD  x 17/32"" ID"
OA7461-M,8',Mill Finish,6063-T5,"1/16""","1/8""","1/4""",3.31,"Round Tube : 1/4""  OD  x 1/8"" ID"
OA5886-M,8',Mill Finish,6063-T5,"1/16""","15/64""","3/8""",4.32,"Round Tube : 3/8""  OD  x 15/64"" ID"
OA5944-M,8',Mill Finish,6063-T5,"1/16""","5/8""","3/4""",9.73,"Round Tube : 3/4""  OD  x 5/8"" ID"
OA5909-M,8',Mill Finish,6063-T5,"1/16""","3/8""","1/2""",7.63,"Round Tube : 1/2""  OD  x 3/8"" ID"
OA5777-M,8',Mill Finish,6063-T5,"1/16""","7/8""","1""",12.88,"Round Tube : 1""  OD  x 7/8"" ID"
OA5725-M,8',Mill Finish,6063-T5,"1/16""","1-3/8""","1-1/2""",19.99,"Round Tube : 1-1/2""  OD  x 1-3/8"" ID"
OA5541-M,8',Mill Finish,6063-T5,"3/32""","9/64""","3/8""",7.63,"Round Tube : 3/8""  OD  x 9/64"" ID"
OA7448-M,8',Mill Finish,6063-T5,"7/64""","17/64""","1/2""",16.98,"Round Tube : 1/2""  OD  x 17/64"" ID"
OA6314-M,6',Mill Finish,6063-T5,"7/64""","1-13/32""","1-5/8""",34.09,"Round Tube : 1-5/8""  OD  x 1-13/32"" ID"
OA5830-M,8',Mill Finish,6063-T5,"1/8""","3/8""","9/16""",11.33,"Round Tube : 9/16""  OD  x 3/8"" ID"
OA5296-M,8',Mill Finish,6063-T5,"7/32""","7/16""","7/8""",27.49,"Round Tube : 7/8""  OD  x 7/16"" ID"
