SKU,Cut,Finish,Alloy,Wall,Width,Height,Price,Name
OA1221,8',Mill Finish,6061-T6,"1/20""","1-1/2""","1""",8.41,"T Section: 1-1/2"" x 1"" x 1/20"""
OA2163,8',Mill Finish,6061-T6,"1/16""","1-1/4""","3/4""",7.44,"T Section: 1-1/4"" x 3/4"" x 1/16"""
OA1573,8',Mill Finish,6061-T6,"1/16""","1-1/4""","1""",7.22,"T Section: 1-1/4"" x 1"" x 1/16"""
OA9157,8',Mill Finish,6061-T6,"1/16""","1-1/4""","3/4""",9.22,"T Section : 1-1/4"" x 3/4"" x 1/16"" "
OA9158,8',Mill Finish,6061-T6,"1/16""","1-1/4""","1""",10.43,"T Section : 1-1/4"" x 1"" x 1/16"" "
OA3159,8',Mill Finish,6061-T6,"1/8""","1-1/2""","3/4""",15.69,"T Section: 1-1/2"" x 3/4"" x 1/8"""
OA2651,8',Mill Finish,6061-T6,"1/8""","1-1/2""","7/8""",16.51,"T Section: 1-1/2"" x 7/8"" x 1/8"""
OA1481,8',Mill Finish,6061-T6,"1/8""","2""","1""",24.48,"T Section: 2"" x 1"" x 1/8"""
OA7108,8',Mill Finish,6061-T6,"1/8""","1""","1-1/4""",27.68,"T Section: 1"" x 1-1/4"" x 1/8"""
OA9159,8',Mill Finish,6061-T6,"1/8""","1/2""","1/4""",6.02,"T Section : 1/2"" x 1/4"" x 1/8"""
OA9160,8',Mill Finish,6061-T6,"1/8""","1""","1/2""",13.18,"T Section : 1"" x 1/2"" x 1/8"" "
OA9161,8',Mill Finish,6061-T6,"1/8""","1""","1""",17.98,"T Section : 1"" x 1"" x 1/8"" "
OA9162,8',Mill Finish,6061-T6,"1/8""","2""","1-1/2""",32.38,"T Section : 2"" x 1-1/2"" x 1/8"" "
OA9163,8',Mill Finish,6061-T6,"1/8""","3""","1-1/2""",41.98,"T Section : 3"" x 1-1/2"" x 1/8"" Wall"
OA1356,8',Mill Finish,6061-T6,"3/16""","1-1/2""","1-1/2""",27.22,"T Section: 1-1/2"" x 1-1/2"" x 3/16"""
OA9164,8',Mill Finish,6061-T6,"3/16""","1""","1""",26.18,"T Section : 1"" x 1"" x 3/16"" "
OA9165,8',Mill Finish,6061-T6,"3/16""","2""","1""",40.64,"T Section : 2"" x 1"" x 3/16"" "
OA9166,8',Mill Finish,6061-T6,"3/16""","3""","1-1/2""",62.27,"T Section : 3"" x 1-1/2"" x 3/16"" Wall"
